Facility Code,Facility Name,Province,County,District,Division,Type,Owner,Constituency,Beds,Open 24 Hours,Open Weekends,Operational Status
14180,10 Engineer VCT,Rift Valley,Laikipia,Laikipia East,Central,Dispensary,Armed Forces,LAIKIPIA EAST,0,N,N,Operational
17486,12 Engineers,Central,Kiambu,Thika West,,Dispensary,Ministry of Health,JUJA,0,N,N,Operational
18393,3Kl Maternity & Nursing Home,Rift Valley,Kajiado,Kajiado North,Ongata Rongai,Nursing Home,Private Practice - Clinical Officer,KAJIADO NORTH,7,Y,Y,Operational
14181,3Kr Health Centre,Rift Valley,Nakuru,Nakuru,Lanet,Health Centre,Armed Forces,NAKURU TOWN,20,Y,Y,Operational
11917,78 Tank Battalion Dispensary,Eastern,Isiolo,Isiolo,Central,Dispensary,Armed Forces,ISIOLO NORTH,7,Y,Y,Operational
13043,7Kr Mrs Health Centre,Nairobi,Nairobi,Langata,Lang'ata,Health Centre,Armed Forces,LANG'ATA,14,Y,Y,Operational
14182,8Th Street Clinic,Rift Valley,Kajiado,Kajiado North,Isinya,Medical Clinic,Private Enterprise (Institution),KAJIADO NORTH,0,N,Y,Operational
18137,A To Z Quality Health Family Health Services,Rift Valley,Nakuru,Njoro,Njoro,Medical Clinic,Private Practice - Nurse / Midwife,MOLO,0,N,Y,Operational
12861,AAR City Centre Clinic,Nairobi,Nairobi,Starehe,Starehe,Medical Clinic,Private Enterprise (Institution),STAREHE,0,N,Y,Operational
16796,AAR Clinic Sarit Centre (Westlands),Nairobi,Nairobi,Westlands,Westlands,Medical Clinic,Private Enterprise (Institution),WESTLANDS,0,N,N,Operational
18178,AAR Eldoret,Rift Valley,Uasin Gishu,Eldoret West,Turbo,Medical Clinic,Private Practice - General Practitioner,ELDORET NORTH,0,Y,Y,Operational
19958,AAR Gwh Health Care Ltd,Nairobi,Nairobi,Westlands,Kilimani,Health Centre,Private Enterprise (Institution),WESTLANDS,0,N,Y,Operational
18859,AAR Healthcare Limited (Karen),Nairobi,Nairobi,Langata,Lang'ata,Medical Clinic,Private Enterprise (Institution),LANG'ATA,0,N,Y,Operational
12862,AAR Kariobangi Clinic,Nairobi,Nairobi,Kasarani,Kasarani,Medical Clinic,Private Enterprise (Institution),KASARANI,0,N,N,Operational
11194,AAR Medical Services (Docks),Coast,Mombasa,Mvita,Island,Medical Clinic,Private Enterprise (Institution),MVITA,0,N,N,Operational
